公司名稱,公司網址,職務名稱,職務網址,接受身份,工作經歷,學歷要求,科系要求,語文條件,擅長工具,工作技能,其他條件
麟數據科技股份有限公司,https://www.104.com.tw/company/1a2x6bjpwh,數據工程師/資深數據工程師(數據中台),https://www.104.com.tw/job/ajax/content/6uduf,"['上班族', '應屆畢業生']",1年以上,大學、碩士,無,['英文:聽 /中等、說 /中等、讀 /精通、寫 /中等'],"['Linux', 'Shell', 'OOP', 'Java', 'Python', 'Spring', 'ETL', 'OLAP', 'hadoop', 'AWS']","['資訊設備環境設定', '系統架構規劃', '軟體工程系統開發', '軟體程式設計']",無
聖洋科技股份有限公司,https://www.104.com.tw/company/cwxi5k0,(T)R-Junior Software Engineer (Front-End),https://www.104.com.tw/job/ajax/content/6s7io,['上班族'],不拘,專科、大學,無,['英文:聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂'],"['HTML', 'JavaScript', 'CSS']",無,"['Responsibilities', '-', 'Craft', 'HTML5', 'ad', 'templates', 'for', 'top', 'tier', 'websites', '-', 'Provide', 'technical', 'support', 'for', 'business', 'teams', 'and', 'partners', '-', 'Manage', 'assets', 'in', 'DoubleClick', 'Ad', 'Manager', 'Requirements', '-', 'Familiar', 'with', 'HTML5', 'and', 'CSS3', '-', 'Programming', 'skills', 'in', 'JavaScript', '-', 'Ability', 'to', 'effectively', 'communicate', 'complex', 'issues', 'to', 'both', 'technical', 'and', 'non-technical', 'colleagues', 'and', 'customers', 'Plus', '-', 'Knowledge', 'in', 'digital', 'advertising', '-', 'Knowledge', 'in', 'graphic', 'design', '-', 'Experience', 'with', 'DoubleClick', 'Ad', 'Manager']"
達易特基因科技股份有限公司,https://www.104.com.tw/company/czr45ts,研發專員,https://www.104.com.tw/job/ajax/content/66bbo,"['上班族', '應屆畢業生']",1年以上,大學、碩士,"['生物學相關', '食品營養相關', '醫學技術及檢驗相關']",無,"['Excel', 'Outlook', 'PowerPoint', 'Word', '中文打字20~50', '英文打字20~50']",無,無
達易特基因科技股份有限公司,https://www.104.com.tw/company/czr45ts,研發助理,https://www.104.com.tw/job/ajax/content/6y3so,"['上班族', '應屆畢業生']",1年以上,大學、碩士,"['生物學相關', '食品營養相關', '醫學技術及檢驗相關']",無,"['Excel', 'Outlook', 'PowerPoint', 'Word', '中文打字20~50', '英文打字20~50']",無,無
菲爾資訊科技有限公司,https://www.104.com.tw/company/1a2x6bizpz,專案網站開發工程師,https://www.104.com.tw/job/ajax/content/4gqeb,"['上班族', '應屆畢業生', '日間就讀中', '夜間就讀中', '原住民', '二度就業', '學生實習']",不拘,高中,無,無,['PHP'],無,"['只要您有熱忱及喜愛挑戰，毋須擔心，', '公司定期舉辦公司外部專業進修課程，', '與您一同成長，實現自我。']"
台灣之星電信股份有限公司,https://www.104.com.tw/company/wiedfdk,03_大數據科學家,https://www.104.com.tw/job/ajax/content/5amyj,"['上班族', '原住民']",2年以上,大學、碩士,無,無,無,無,"['(1)', '資料庫語言', '(SQL)', '(2)', 'ETL', '工具', '(Trinity)', '(3)', '爬網程式', '(Python)', '(4)', 'Data', 'Mining', '(R/SAS/SPSS)', '(5)', 'Data', 'Modeling', '(6)', '熟悉大數據架構(HDFS)', '(7)', '統計分析專業知識', '(8)', '掌握各產業知識']"
友達光電股份有限公司,https://www.104.com.tw/company/12nokxe8,資料科學家(台中廠),https://www.104.com.tw/job/ajax/content/5qbzv,['上班族'],不拘,碩士以上,"['數學及電算機科學學科類', '數理統計相關', '資訊工程相關']",['英文:聽 /中等、說 /中等、讀 /中等、寫 /中等'],"['Java', 'Python']",無,"['1.具備Machine', 'Learning以及Deep', 'Learning', 'framework,', '具AI需求分析與應用開發經驗', '2.具備程式開發經驗', '3.接觸過半導體、光電產業者佳', '4.熟悉Linux系統,', '具C/C++/Java/Python程式語言設計經驗', '5.具資料處理與分析經驗者']"
博賢智能科技有限公司,https://www.104.com.tw/company/1a2x6bkjk0,資料科學家 Data Scientist,https://www.104.com.tw/job/ajax/content/6j8ye,['上班族'],2年以上,碩士以上,"['資訊工程相關', '數理統計相關', '應用數學相關']",['英文:聽 /中等、說 /中等、讀 /中等、寫 /中等'],"['Java', 'Python']",無,無
安永聯合會計師事務所,https://www.104.com.tw/company/1vzrgxd,【企業管理諮詢服務】資料科學家 Data Scientist - Staff Level,https://www.104.com.tw/job/ajax/content/5wwmi,"['上班族', '應屆畢業生']",不拘,大學、碩士,"['財稅金融相關', '數理統計相關', '商業及管理學科類']",['英文:聽 /精通、說 /精通、讀 /精通、寫 /精通'],無,無,"['1.', 'A', 'bachelor’s', 'and/or', 'master’s', 'degree,', 'preferably', 'with', 'an', 'emphasis', 'in', '數理統計、經濟、', '資訊管理、資訊工程、工業工程相關科系。', '2.', 'Passionate', 'in', 'data', 'analytics,', 'and', 'problem', 'solving.', '3.', 'Statistic', 'modeling,', 'machine', 'learning,', 'or', 'deep', 'learning', 'experience', '4.', 'Excellent', 'command', 'of', 'English', '/', 'Chinese.', 'Candidate', 'must', 'be', 'able', 'to', 'read', 'papers/materials', 'and', 'generate', 'project', 'deliverables', '(including', 'reports)', 'in', 'English', '/', 'Chinese', '5.', 'Strong', 'logical', 'thinking', 'and', 'writing', 'skill', '6.', 'Proactive,', 'willing', 'to', 'acquire', 'new', 'knowledge', 'and', 'take', 'on', 'challenges', '7.', 'Be', 'able', 'to', 'use', 'statistic', 'or', 'mathematics', 'methodology', 'to', 'solve', 'problems', '8.', 'Must', 'be', 'a', 'self-motivated', 'person', 'and', 'should', 'be', 'willing', 'to', 'explore', 'new', 'ideas', '9.', 'Strong', 'technical', 'competencies', '(Minimum', 'with', 'one', 'of', 'the', 'following):', 'C++,', 'C#,', 'VBA,', 'SAS,', 'SPSS,', 'R,', 'Tableau,', 'Power', 'BI', 'or', 'Python']"
KPMG_安侯建業聯合會計師事務所,https://www.104.com.tw/company/1uf0wio,【顧問部】顧問師/高級顧問師/副理(資料科學家)-317A,https://www.104.com.tw/job/ajax/content/6316g,['上班族'],2年以上,大學以上,無,['英文:聽 /中等、說 /中等、讀 /中等、寫 /中等'],"['Windows XP', 'Python', 'ANSI SQL', 'Excel', 'Outlook', 'PowerPoint', 'Word', 'SAS', 'SPSS']",無,"['1.', '分析程式語言要求：', '-', 'Python', 'or', 'R,', 'SAS', ',', 'SPSS', '-', 'SQL', '-', 'Statistic', 'modeling,', 'machine', 'learning', 'experience', '分析程式語言Python', 'or', 'R,', 'SPSS,', 'SAS', '資料整理程式語言', 'SQL', '熟悉統計分析建模及機器學習', '2.大數據工程相關程式語言：', '大數據工程程式語言-', 'Spark,', 'Hadoop,', 'Hive', '-', 'Have', 'experience', 'of', 'building', 'model', 'on', 'big', 'data', '-', 'Spark,', 'Hadoop,', 'Hive']"
安索帕股份有限公司,https://www.104.com.tw/company/wc8jyiw,Data Scientist (junior) 數據科學家,https://www.104.com.tw/job/ajax/content/6gp9v,"['上班族', '研發替代役', '外籍人士', '原住民']",不拘,專科以上,"['經濟學相關', '社會學相關', '統計學相關']",無,"['Linux', 'Python', 'R', 'MS SQL']","['統計軟體操作', '網站流量成效追蹤']","['Skill', 'set', ':', 'Must', 'have', '•', '熟悉R語言', '•', '2年以上的數據分析以及建模的經驗', '•', '至少1個從資料擷取、資料整理、資料分析到建立洞察或模型的實務經驗', '•', '進階統計模型(Regression,', 'Clustering,', 'Segmentation...)的應用經驗', 'Skill', 'set', ':', 'Nice', 'to', 'have', '•', '至少1個參與數據產品開發的經驗', '•', '開發客製化分析模型或流程的經驗', '•', '有製作商業智慧儀錶板的經驗', '•', '有GCP', 'or', 'AWS', 'or', 'Azure的使用經驗', '•', 'Linux', '指令操作經驗', '•', 'Python,', 'SQL', '•', '熟悉', 'Machine', 'Learning', 'Model', '*持有「數位人才探索計劃」相關證照的申請者有優先面試機會（Google', 'Ads', '搜尋廣告認證、Google', 'Ads', '影音廣告認證、Google', 'Analytics個人認證，詳情請洽數位人才探索計劃網站）']"
莫克斯行動加速有限公司,https://www.104.com.tw/company/1a2x6bk2jb,資料科學家 (Data Scientist),https://www.104.com.tw/job/ajax/content/6tn1e,"['上班族', '外籍人士']",不拘,大學以上,無,['英文:聽 /精通、說 /精通、讀 /精通、寫 /精通'],無,無,無
莫克斯行動加速有限公司,https://www.104.com.tw/company/1a2x6bk2jb,資深數據工程師 (Senior. Data Engineer),https://www.104.com.tw/job/ajax/content/6tmvj,"['上班族', '外籍人士']",不拘,大學以上,無,['英文:聽 /精通、說 /精通、讀 /精通、寫 /精通'],無,無,無
國泰人壽保險股份有限公司_總公司_國泰金控,https://www.104.com.tw/company/1jt7ol5,【2020校徵】資料科學家,https://www.104.com.tw/job/ajax/content/6vfsd,"['上班族', '應屆畢業生', '外籍人士', '原住民']",不拘,大學、碩士,['資訊管理相關'],無,無,無,"['1.熟悉程式語言Python，或統計分析軟體如', 'R、SAS等；熟悉SQL。', '2.具備機器學習模型及流程架構專業知識', '。', '3.具有Machine', 'learning,', 'Statistic', 'modeling,', 'Deep', 'learning相關實際應用程式設計開發經驗者佳。', '4.具數據競賽相關得獎或參賽經驗者尤佳。', '5.具有良好溝通協調能力。', '6.', '對ML、AI實作與運用有高度興趣和研究意願者佳。']"
台北富邦商業銀行股份有限公司,https://www.104.com.tw/company/1q0r45c,資料工程師,https://www.104.com.tw/job/ajax/content/6w72y,['上班族'],3年以上,大學、碩士,['資訊管理相關'],['英文:聽 /中等、說 /中等、讀 /中等、寫 /中等'],無,無,"['1.具數據、模型建置、分析一年以上經驗，具SQL、Python、R或Java程式開發能力。', '2.大數據平台(Hadoop)及Spark規劃及建置者。', '3.網路爬蟲及機器學習建模經驗。', '4.RESTfulAPI規劃及建置、開發。', '5.資料轉換(ETL-Informatica)及Oracle資料庫程式開發。', '6.學習能力佳，擅長溝通，且能獨立解決問題。', '7.願意接受FinTech新挑戰。']"
國泰健康管理顧問股份有限公司,https://www.104.com.tw/company/1a2x6bigmq,數據分析工程師~資訊系統部[台北市],https://www.104.com.tw/job/ajax/content/6ybtc,['上班族'],3年以上,專科、大學,無,無,無,無,"['1.具相關工作經驗3年以上並具AWS相關證照、DB相關證照。', '2.熟悉Hadoop分散式系統架構及相關分析工具，如Spark、Hive等、微服務開發及容器化布署流程與無伺服器(sever-less)應用程式開發。', '3.具地對雲及雲對雲ETL', 'Pipeline開發、測試、上線與維護能力，可與資料科學家協作，進行機器學習與統計分析模型上線。', '4.可進行數據服務應用相關API開發與批次及串流數據工程的自動化、監控、與維運模組開發。']"
