公司名稱,公司網址,職務名稱,職務網址,接受身份,工作經歷,學歷要求,科系要求,語文條件,擅長工具,工作技能,其他條件
國泰金控_國泰金融控股股份有限公司,https://www.104.com.tw/company/wjct48g,"數據軟體工程師-數據科技(數數發中心, DDT)",https://www.104.com.tw/job/ajax/content/6emjz,['上班族'],不拘,大學以上,無,['英文:聽 /精通、說 /精通、讀 /精通、寫 /精通'],無,無,"['[必要條件]', '-', '具備團隊合作的態度與愛好自我學習探索及分享的精神', '-', '至少一年', 'Python', '程式語言開發經驗，並具備軟體工程開發思維', '-', '熟悉', 'Linux', '環境與', 'Shell', 'Script', '開發經驗', '-', '具備', 'Git', '版本控管與經驗', '-', '具備', 'Hadoop', 'Eco-system/Apache', 'Spark', '等相關應用開發經驗', '[加分條件]', '-', '熟悉', 'Docker、Kubernetes', '概念/架構，並具備容器化開發經驗', '-', '熟悉', 'MongoDB、Redis、Elastic', 'Stack', '或其他結構化/非結構化數據儲存平台', '-', '具備', 'DevOps', '相關知識與', 'CI/CD', 'pipeline', '流程建置經驗', '-', '具備', 'Streaming', 'Framework', '開發經驗', '如：Spark', 'Streaming、Kafka、Flink', '等', '-', '具備統計方法、機器學習、或是深度學習相關概念']"
誌彙科技有限公司,https://www.104.com.tw/company/1a2x6bl0m5,.NET/C#高級工程師(外派菲律賓),https://www.104.com.tw/job/ajax/content/6x3p0,"['上班族', '二度就業']",4年以上,專科以上,無,無,"['ASP.NET', 'C#', 'MS SQL']",無,無
德昂資訊股份有限公司,https://www.104.com.tw/company/1a2x6bk3cz,行動BI視覺化開發工程師--台北/高雄,https://www.104.com.tw/job/ajax/content/6byyt,"['上班族', '應屆畢業生']",不拘,專科以上,['商業及管理學科類'],無,無,無,無
睿點行動股份有限公司,https://www.104.com.tw/company/1a2x6bktsz,後端資料工程師 Backend Data Engineer (Python),https://www.104.com.tw/job/ajax/content/6p3ps,"['上班族', '應屆畢業生', '原住民']",1年以上,專科、大學、碩士,無,無,"['Linux', 'Python', 'MySQL', 'JavaScript']",無,"['【加分條件】', '・Git', '多人協作經驗', '・Ansible、Docker', '等自動化部署經驗', '・RESTful', 'API', '開發、串接經驗，這裡走', 'OpenAPI/Swagger', '標準', '・cloud', 'based', 'solution', '整合經驗，這裡使用', 'GCP', '與', 'BigQuery', '・附帶作品佳']"
安碁資訊股份有限公司,https://www.104.com.tw/company/wf0uhow,【RD】資安開發工程師- 2000361,https://www.104.com.tw/job/ajax/content/6y7bd,['上班族'],1年以上,大學以上,['資訊管理相關'],無,無,無,"['1.', '具備Kali', 'Linux或Unix-Liked系統的操作經驗', '2.', '具備Python程式語言開發的經驗', '3.', '具備網路爬蟲開發經驗，或熟悉爬蟲運作流程', '4.', '了解資安相關知識，例如：Web', '資安攻擊、網路攻擊、OWASP', 'Top', '10等', '5.', '曾具有Web前後端開發經驗', '6.', '喜歡學習新技術，樂於嘗試各種不同方式解決面臨的課題，可以獨立作戰也可以團隊合作']"
緯創資通股份有限公司,https://www.104.com.tw/company/5wthkkw,數據處理技術主任 _ 大陸中山 _ 00560,https://www.104.com.tw/job/ajax/content/6x7mc,"['上班族', '應屆畢業生']",不拘,大學以上,"['統計學相關', '數學及電算機科學學科類', '資訊管理相關']",無,無,無,"['1.具Python/R/Scala/Java', '1年以上開發使用經驗', '2.關聯式數據庫運維1年以上經驗，並至少有一張Oracle，Microsoft', '或', 'MySQL的數據庫相關證照', '3.具SQL，JSON及Regular', 'Expression的應用2年以上開發經驗', '4.具Python/Scrapy', '爬蟲程序的應用1年以上開發經驗', '5.具Spark，Kafka，HDFS等大數據平台1年以上開發經驗', '6.VBA', '1年以上開發使用經驗', '7.工廠製造1年以上經驗']"
英屬開曼群島商史泰博股份有限公司台灣分公司,https://www.104.com.tw/company/cu6w000,程式設計師[SP],https://www.104.com.tw/job/ajax/content/6uu9k,['上班族'],2年以上,大學以上,"['資訊工程相關', '資訊管理相關']",無,"['ASP.NET', 'C#', 'PHP', 'Python', 'Access', 'MS SQL', 'MySQL', 'VBScript']",無,"['1.ASP.NET/C#/VB兩年以上開發經驗者佳', '2.具備Python/Php開發經驗者', '3.熟悉MS', 'SQL/MySQL操作', '4.有基本HTML、JavaScript、CSS語法相關概念']"
新明珠系統方案有限公司,https://www.104.com.tw/company/1a2x6bj6do,中級程式設計師(.NET),https://www.104.com.tw/job/ajax/content/6wlgg,"['上班族', '原住民', '二度就業']",5年以上,大學以上,無,['英文:聽 /中等、說 /中等、讀 /中等、寫 /中等'],無,無,"['職位要求：', '1.selenium/爬蟲技術', '開發經驗。', '2.具備良好的編程風格。', '3.精通.NET開發、SQL語言、MySQL，了解MySQL配置、性能優化等，熟悉Javascript、html、xml、AJAX等。', '4.較強的編程能力，能夠完成較複雜的交互流程設計和實現。', '5.UI頁面規劃設計。']"
大好興業股份有限公司,https://www.104.com.tw/company/wdn0lg0,程式設計師,https://www.104.com.tw/job/ajax/content/6uva2,['上班族'],不拘,大學以上,"['資訊管理相關', '資訊工程相關']",無,"['ASP.NET', 'C#', 'PHP', 'Python', 'Access', 'MS SQL', 'MySQL', 'VBScript']",無,"['1.ASP.NET/C#/VB兩年以上開發經驗者佳', '2.具備Python/Php開發經驗者', '3.熟悉MS', 'SQL/MySQL操作', '4.有基本HTML、JavaScript、CSS語法相關概念']"
技嘉科技股份有限公司,https://www.104.com.tw/company/a4kvltk,實習 / PT - Full-Stack Engineer,https://www.104.com.tw/job/ajax/content/6ane2,"['日間就讀中', '夜間就讀中', '學生實習']",不拘,大學以上,"['數學及電算機科學學科類', '商業及管理學科類']",['英文:聽 /略懂、說 /略懂、讀 /中等、寫 /略懂'],"['Linux', 'C', 'C++', 'C++.Net', 'Java', 'Python', 'Spring', 'Struts', 'R', 'Informix', 'JDBC', 'MS SQL', 'MySQL', 'PostgreSQL', 'RDBMS', 'JavaScript', 'HTTP', 'Socket', 'ssh', 'TCP/IP']",無,[]
